class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auroc,auprc
0,0.83,0.5,0.836734693873282,0.10526315789473684,0.02,0.058823529411764705,0.9879518072229642,0.6339285714285714,0.058476317496936055
1,0.695,0.6666666666666666,0.6954314720776882,0.06153846153846154,0.015,0.03225806451612903,0.992753623181212,0.8240270727580372,0.11909467344249954
2,0.77,0.5555555555555556,0.8034682080878413,0.39473684210526316,0.135,0.30612244897959184,0.9205298013184071,0.7488760436737315,0.38015614490754057
3,0.875,0.0,0.8793969849202041,0.0,0.005,0.0,0.9943181818125324,0.864321608040201,0.03571428571428571
4,0.68,0.3793103448275862,0.7309941520425088,0.2558139534883721,0.145,0.19298245614035087,0.8741258741197614,0.5497076023391813,0.17728788133696827
5,0.48,0.8888888888888888,0.4607329842907815,0.13333333333333333,0.045,0.07207207207207207,0.9887640449327105,0.6369982547993018,0.0893567005512489
6,0.705,0.09090909090909091,0.7407407407368215,0.03278688524590164,0.055,0.02,0.9333333333271112,0.506012506012506,0.05718027687176183
7,0.7,0.5263157894736842,0.7182320441949269,0.25,0.095,0.16393442622950818,0.9352517985544228,0.6606571677813318,0.20516222494123257
8,0.665,0.5,0.6736842105227702,0.12987012987012986,0.05,0.07462686567164178,0.9624060150303579,0.7047368421052631,0.12822009309431995
9,0.72,1.0,0.7113402061819003,0.17647058823529413,0.03,0.0967741935483871,0.9999999999927537,0.8900343642611683,0.38484848484848483
10,0.58,0.0,0.5829145728613924,0.0,0.005,0.0,0.9914529914445175,0.025125628140703515,0.005128205128205128
11,0.345,1.0,0.34170854271185075,0.015037593984962405,0.005,0.007575757575757576,0.9999999999852941,0.9396984924623115,0.07692307692307693
12,0.815,0.5,0.818181818177686,0.05128205128205128,0.01,0.02702702702702703,0.9938650306687493,0.803030303030303,0.5125
13,0.55,0.8571428571428571,0.538860103624151,0.11764705882352941,0.035,0.06315789473684211,0.9904761904667574,0.8223538119911178,0.28891949061011796
