class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.72,0.25,0.7295918367309715,0.034482758620689655,0.02,0.018518518518518517,0.979452054787812,0.40688775510204084
1,0.4,1.0,0.3908629441604525,0.047619047619047616,0.015,0.024390243902439025,0.9999999999870129,0.7834179357021998
2,0.135,1.0,0.0,0.23788546255506607,0.135,0.135,0.0,0.5305073859987155
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.1758793969849246
4,0.62,0.5517241379310345,0.6315789473647276,0.2962962962962963,0.145,0.20253164556962025,0.8925619834636979,0.5860052429925388
5,0.95,0.0,0.994764397900551,0.0,0.045,0.0,0.9547738693419359,0.5264688772542175
6,0.65,0.6363636363636364,0.6507936507902075,0.16666666666666666,0.055,0.0958904109589041,0.968503937000248,0.6628186628186629
7,0.67,0.3684210526315789,0.7016574585596594,0.175,0.095,0.11475409836065574,0.9136690647416283,0.5713870311136958
8,0.31,0.5,0.2999999999984211,0.06756756756756757,0.05,0.036231884057971016,0.9193548386948491,0.3310526315789473
9,0.775,0.16666666666666666,0.793814432985599,0.0425531914893617,0.03,0.024390243902439025,0.9685534591134054,0.5876288659793815
10,0.71,0.0,0.7135678391923942,0.0,0.005,0.0,0.993006993000049,0.6381909547738693
11,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.4120603015075377
12,0.885,0.5,0.8888888888843997,0.08,0.01,0.043478260869565216,0.9943502824802579,0.8484848484848485
13,0.325,0.8571428571428571,0.30569948186370105,0.08163265306122448,0.035,0.04285714285714286,0.9833333333169445,0.7009622501850481
