class_id,accuracy,recall,sepcificity,f1,prevalence,ppv_per_class,npv_per_class,auc
0,0.595,0.5,0.5969387755071585,0.047058823529411764,0.02,0.024691358024691357,0.9831932773026623,0.5625
1,0.285,1.0,0.27411167512551216,0.040268456375838924,0.015,0.02054794520547945,0.9999999999814816,0.6666666666666666
2,0.715,0.37037037037037035,0.7687861271631863,0.2597402597402597,0.135,0.2,0.8866666666607557,0.5902376364804109
3,0.995,0.0,0.9999999999949749,0.0,0.005,0.0,0.9949999999950251,0.29145728643216084
4,0.38,0.8620689655172413,0.2982456140333436,0.28735632183908044,0.145,0.1724137931034483,0.9272727272558678,0.5761242185924581
5,0.915,0.2222222222222222,0.9476439790526302,0.19047619047619047,0.045,0.16666666666666666,0.9627659574416875,0.47294938917975565
6,0.215,1.0,0.1693121693112735,0.12290502793296089,0.055,0.06547619047619048,0.9999999999687501,0.7965367965367964
7,0.895,0.0,0.9889502762376302,0.0,0.095,0.0,0.9040404040358382,0.5481244547833672
8,0.535,0.6,0.5315789473656233,0.11428571428571428,0.05,0.06315789473684211,0.9619047618956009,0.5994736842105264
9,0.59,0.6666666666666666,0.5876288659763524,0.08888888888888889,0.03,0.047619047619047616,0.9827586206811831,0.6134020618556701
10,0.84,0.0,0.8442211055233959,0.0,0.005,0.0,0.9940828402308043,0.3417085427135679
11,0.895,0.0,0.8994974874326659,0.0,0.005,0.0,0.9944444444389198,0.44723618090452266
12,0.79,0.5,0.7929292929252882,0.045454545454545456,0.01,0.023809523809523808,0.9936708860696604,0.6287878787878788
13,0.935,0.14285714285714285,0.9637305699431932,0.13333333333333333,0.035,0.125,0.9687499999949545,0.687638786084382
